id,first_name,last_name,email,cc_type,cc_number,purchase_dept,purchase_amount,address,zipcode,state,prod_name,purchase_data
33,Freeland,Jamot,fjamotw@icq.com,americanexpress,374288865526056,Garden,12.99,2153 Merry Center,73147,OK,Bamboo Charcoal Air Purifier Bags,6/23/2026
34,Annabela,Creamer,acreamerx@123-reg.co.uk,china-unionpay,5602211837397941061,Industrial,3.29,72946 Hauk Park,64101,MO,Turmeric Ginger Tea,1/31/2026
35,Nicky,Revie,nreviey@acquirethisname.com,diners-club-enroute,201776984867798,Computers,89.99,60562 Moulton Place,79769,TX,Instant Pot,8/31/2026
36,Erwin,Hawkett,ehawkettz@apple.com,diners-club-international,36168052272757,Books,49.99,70063 Ruskin Drive,67215,KS,Air Mattress,6/1/2026
37,Anthony,Hostan,ahostan10@newsvine.com,visa,4017956901624201,Grocery,39.99,69 Westerfield Drive,93591,CA,Handmade Leather Journal,7/19/2026
38,Charmain,Everil,ceveril11@jiathis.com,diners-club-us-ca,5484838086450746,Computers,5.49,14 Holmberg Junction,76305,TX,Frozen Berry Medley,2/2/2026
39,Melisenda,Lebell,mlebell12@fastcompany.com,maestro,630401585727842584,Toys,58.99,60 Carpenter Point,66205,KS,Kids' Art Easel,3/9/2026
40,Bart,Mobberley,bmobberley13@feedburner.com,americanexpress,374622316417368,Kids,9.99,42 Kim Plaza,46867,IN,Coconut Curry Chicken,5/16/2026
41,Mechelle,Kear,mkear14@google.co.uk,instapayment,6389794553336518,Kids,4.99,26 Bluestem Court,65218,MO,Pumpkin Ice Cream,8/9/2026
42,Trula,Crippes,tcrippes15@columbia.edu,diners-club-enroute,201957419748825,Baby,3.99,18126 Brickson Park Circle,94159,CA,Vegan Caesar Dressing,7/24/2026
43,Star,Giovannacc@i,sgiovannacci16@list-manage.com,instapayment,6390390967902826,Jewelry,14.99,837 Dunning Park,79159,TX,Smoked Salmon,10/19/2025
44,Christos,Dundredge,cdundredge17@delicious.com,bankcard,5602210573587702,Movies,59.99,41 Duke Center,06160,CT,Two-Tone Windbreaker,6/30/2026
45,Tonya,Naptin,tnaptin18@bluehost.com,solo,6767532622005991225,Grocery,49.99,5 Old Shore Place,31136,GA,Folding Backpack Chair,4/22/2026
46,Reidar,Josse,rjosse19@msn.com,solo,6767115116694545397,Computers,3.99,6 Pepper Wood Trail,33111,FL,Chocolate Chip Energy Balls,3/14/2026
47,Valentino,Tichelaar,vtichelaar1a@ning.com,americanexpress,374288807081376,Jewelry,49.99,85 Texas Pass,90840,CA,Floral Wrap Top,3/15/2026
48,Efrem,Ferri,eferri1b@mashable.com,diners-club-international,36863304700031,Games,3.49,97 Knutson Center,44105,OH,Ginger Turmeric Tea,1/9/2026
49,Temp,Bartolic,tbartolic1c@cbsnews.com,diners-club-enroute,201875738235474,Industrial,19.99,058 Eggendart Drive,95405,CA,Electric Milk Frother,2/4/2026
50,Mariejeanne,Hillum,mhillum1d@ihg.com,jcb,3538958579151188,Books,49.99,63 Morrow Hill,77025,TX,Wireless Wi-Fi Extender,2/18/2026
51,Berkie,Naisbitt,bnaisbitt1e@mozilla.org,diners-club-international,36393592118431,Home,79.99,416 Service Terrace,58207,ND,Portable Bluetooth Headphones,5/7/2026
52,Sam,Strivens,sstrivens1f@nytimes.com,visa,4041599885134,Electronics,99.99,0160 Logan Lane,34233,FL,Puffer Winter Coat,9/19/2025
53,Oralia,Itchingham,oitchingham1g@earthlink.net,diners-club-enroute,201572631125957,Home,3.99,17 Nelson Terrace,74170,OK,Buttermilk Pancakes,9/17/2025
54,Obediah,Roddie,oroddie1h@engadget.com,mastercard,5108754184633248,Baby,79.99,0382 Duke Circle,77080,TX,Digital Drawing Tablet,6/3/2026
55,Filippa,Gibbin,fgibbin1i@biblegateway.com,mastercard,5100132391435160,Books,3.79,74599 Algoma Trail,21275,MD,Caribbean Jerk Marinade,1/3/2026
56,Vivianne,Mackstead,vmackstead1j@nature.com,diners-club-international,36482724636137,Sports,1.99,969 Glendale Circle,10275,NY,Fresh Basil,3/19/2026
57,Noella,Scyone,nscyone1k@aboutads.info,jcb,3589890891996602,Beauty,1.99,7558 Atwood Place,38136,TN,Sesame Seeds,6/21/2026
58,Nerita,Tickle,ntickle1l@wp.com,bankcard,5602222748415644,Industrial,35.99,454 Atwood Street,45403,OH,Educational STEM Kit,5/8/2026
59,Keefe,Ellins,kellins1m@blogger.com,diners-club-international,36388058937878,Games,1.89,9 Westridge Junction,77060,TX,Canned Coconut Milk,1/25/2026
60,Ambrosio,Mewrcik,amewrcik1n@ox.ac.uk,diners-club-enroute,201547353327122,Tools,59.99,4761 Eagan Park,46278,IN,Mini Indoor Hydroponic Garden,1/6/2026
61,Lindy,Thomasset,lthomasset1o@51.la,china-unionpay,56022540307832163,Books,19.99,5749 Corry Circle,45228,OH,Cable Knit Beanie,12/28/2025
62,Marna,Frizell,mfrizell1p@google.cn,visa,4242337218679146,Books,19.99,94 Lyons Place,36605,AL,Graphic Tee,9/19/2025
63,Hermione,Polycote,hpolycote1q@seattletimes.com,instapayment,6372243308290256,Grocery,5.49,4 Coleman Street,08608,NJ,Raspberry Tart,1/8/2026
64,Carolan,Paterson,cpaterson1r@skype.com,instapayment,6398760821292832,Shoes,6.29,7 Tony Avenue,37240,TN,Grilled Veggie Burgers,6/27/2026
65,Lorilee,Vasenin,lvasenin1s@youku.com,china-unionpay,56022317421184759,Beauty,29.99,1 Carberry Crossing,45440,OH,Relaxed Fit Henley Shirt,6/5/2026
66,Kaia,Fateley,kfateley1t@ning.com,china-unionpay,560225870503539114,Sports,39.99,5 Maryland Terrace,43666,OH,Smart LED Desk Lamp,7/5/2026
67,Dore,Mitchely,dmitchely1u@dailymotion.com,solo,633422533215330299,Computers,2.99,6783 Moose Lane,10004,NY,Ready-to-Eat Chili,5/5/2026
68,Cristie,Dimanche,cdimanche1v@google.pl,americanexpress,342545492991956,Movies,79.99,2 Paget Pass,29203,SC,Weighted Blanket,5/31/2026
69,Eziechiele,Poon,epoon1w@google.com,americanexpress,374283267424794,Clothing,22.99,0762 Stang Center,55127,MN,Coconut Bowls Set,12/20/2025
70,Yehudi,Padbury,ypadbury1x@symantec.com,switch,4936347356254557340,Movies,24.99,1 Brown Court,34985,FL,Bluetooth Car Adapter,11/7/2025
71,Neddy,Seckom,nseckom1y@163.com,mastercard,5010121517050770,Beauty,34.99,7 Clemons Point,75342,TX,Glass Tea Pot,3/20/2026
72,Ab,MacKessock,amackessock1z@cyberchimps.com,diners-club-enroute,201724574633634,Electronics,39.99,919 Goodland Lane,74133,OK,Waffle Maker,9/12/2025
73,Rosemary,Addess,raddess20@arizona.edu,americanexpress,374622538596700,Shoes,24.99,040 Forster Avenue,40515,KY,Wall Decals for Kids,3/13/2026
74,Ilaire,Cartin,icartin21@techcrunch.com,diners-club-enroute,201852716437216,Beauty,5.99,12163 Logan Way,89505,NV,Almond Quinoa Salad,9/4/2025
75,Michail,Bratley,mbratley22@webnode.com,mastercard,5048375756699772,Music,6.99,79659 Crowley Center,39210,MS,Vegetable Stir-Fry Kit,8/25/2026
76,Brett,Loughney,bloughney23@blogger.com,jcb,3530758212135046,Computers,3.99,0 Ronald Regan Crossing,32412,FL,Vegetable Fried Rice Mix,3/4/2026
77,Thaxter,Iston,tiston24@dyndns.org,switch,4905444607475932317,Outdoors,1.99,262 Columbus Alley,33169,FL,Sweet Potatoes (organic),12/24/2025
78,Kelvin,Haizelden,khaizelden25@istockphoto.com,mastercard,5002359042139821,Grocery,4.99,4 Summit Alley,32825,FL,Frozen Berry Blend,11/26/2025
79,Griffith,Hawgood,ghawgood26@csmonitor.com,instapayment,6391466829589321,Baby,14.99,78316 Grover Street,35220,AL,Adjustable Yoga Mat Strap,1/8/2026
80,Chadd,Gynne,cgynne27@bbc.co.uk,visa,4041593106966,Sports,3.49,4217 Esker Trail,99252,WA,Miso Dressing,7/1/2026
81,Larine,Girvin,lgirvin28@cbc.ca,diners-club-enroute,201933856169452,Grocery,3.49,306 John Wall Point,23504,VA,Rice Noodles,5/21/2026
82,Caroline,Salzen,csalzen29@w3.org,instapayment,6379352831027367,Music,4.29,64 Sullivan Lane,75392,TX,Maple Cinnamon Granola,7/29/2026
83,Welbie,Bocken,wbocken2a@devhub.com,jcb,3554077258033267,Jewelry,49.99,836 Spohn Pass,92410,CA,Car Diagnostic Scanner,12/6/2025
84,Pammie,Woakes,pwoakes2b@phoca.cz,visa,4041378648076167,Baby,129.99,31 Badeau Circle,44505,OH,Faux Fur Coat,5/1/2026
85,Tiffi,Meininking,tmeininking2c@huffingtonpost.com,diners-club-enroute,201484949097185,Toys,34.99,418 Loomis Terrace,94137,CA,Outdoor Camping Lantern,8/20/2026
86,Malory,Lettley,mlettley2d@businessinsider.com,americanexpress,374622602404781,Outdoors,22.99,23 Annamark Street,20099,DC,Digital Food Scale,4/28/2026
87,Alexis,Muck,amuck2e@google.ru,switch,4905574626822508,Jewelry,9.99,293 Hayes Hill,93794,CA,Pet Grooming Gloves,1/22/2026
88,Darline,Laker,dlaker2f@paginegialle.it,solo,6334965247580457,Electronics,6.99,5874 Prentice Alley,32225,FL,Chicken Sausage,8/7/2026
89,Muhammad,McGuckin,mmcguckin2g@sciencedaily.com,solo,6767038951556130993,Kids,24.99,0 Valley Edge Pass,33467,FL,Pet Food Storage Container,7/30/2026
90,Norbert,Zeale,nzeale2h@creativecommons.org,china-unionpay,56022512304580285,Industrial,5.99,5 Maple Wood Plaza,73129,OK,Dog Training Clicker,9/20/2025
91,Sally,Woodcroft,swoodcroft2i@icq.com,maestro,6304826713870994,Kids,79.99,0254 Bobwhite Terrace,48242,MI,Camping Tent,9/27/2025
92,Denise,Garnall,dgarnall2j@altervista.org,instapayment,6373426430276769,Jewelry,5.79,76269 Jenna Drive,06825,CT,Stuffed Grape Leaves,2/24/2026
93,Gunilla,Stiddard,gstiddard2k@yellowbook.com,switch,6333105389103690,Health,24.99,37625 Cascade Court,11231,NY,Wall Decals for Kids,5/10/2026
94,Jacobo,Leahair,jleahair2l@flickr.com,switch,4936990716610245221,Electronics,2.29,1 Washington Center,06510,CT,Tuna Fish (canned),10/11/2025
95,Francklyn,Brian,fbrian2m@spiegel.de,jcb,3569352377353745,Books,9.99,73 Milwaukee Court,91109,CA,Grass Fed Beef Patties,10/22/2025
96,Kyle,Shimoni,kshimoni2n@foxnews.com,diners-club-international,36157037881782,Movies,34.99,4942 Northland Circle,64136,MO,Bamboo Memory Foam Pillow,2/28/2026
97,Stanton,Briars,sbriars2o@nps.gov,diners-club-enroute,201592846356262,Automotive,29.99,0 Northwestern Pass,91616,CA,Smartphone Photography Ring Light,5/5/2026
98,Trefor,Penhalurick,tpenhalurick2p@usnews.com,switch,4903060200344578707,Garden,2.29,6 Kinsman Court,19115,PA,Cheddar Cheese Crackers,7/11/2026
99,Randell,Doyley,rdoyley2q@rakuten.co.jp,diners-club-enroute,201779645384237,Tools,5.99,7 Columbus Avenue,47306,IN,Pet Training Clicker,5/12/2026
100,Phebe,Jezard,pjezard2r@discuz.net,instapayment,6399543583889485,Tools,3.99,30 Upham Circle,23705,VA,Buffalo Wing Sauce,6/30/2026
101,Lenard,Goretti,lgoretti2s@wikimedia.org,solo,6767073804274683,Sports,49.99,389 Kennedy Place,88584,TX,Backpack,9/6/2025
102,Modestia,Measor,mmeasor2t@last.fm,visa,4462433440904,Games,4.29,5 Caliangt Place,30328,GA,Mango Chili Salsa,1/30/2026
103,Forester,Goreisr,fgoreisr2u@cocolog-nifty.com,diners-club-international,36819862616373,Jewelry,8.99,3 Mayfield Plaza,33142,FL,Veggie Lovers Pizza,2/27/2026
104,Kerwinn,Bomb,kbomb2v@livejournal.com,bankcard,5602223484097166,Sports,3.29,56621 Golf Course Pass,37605,TN,Jalapeño Cornbread,8/14/2026
105,Constantia,Edson,cedson2w@twitter.com,switch,6331105266399074,Computers,29.99,8050 Acker Place,73034,OK,Fleece Lined Leggings,12/8/2025
106,Agatha,Caffrey,acaffrey2x@pcworld.com,maestro,58931551526775394,Kids,24.99,42506 Algoma Place,32964,FL,Herbal Garden Starter Kit,8/25/2026
107,Nickie,Ridolfo,nridolfo2y@imgur.com,americanexpress,374288118843308,Home,49.99,79420 Transport Place,98115,WA,Digital Voice Recorder,1/30/2026
108,Donnie,Matushevitz,dmatushevitz2z@sun.com,china-unionpay,56022102978762680,Health,19.99,61429 Ludington Park,85083,AZ,Reflective Safety Vest,1/19/2026
109,Tansy,Bugdell,tbugdell30@multiply.com,visa,4041594202319,Grocery,15.99,515 Dakota Crossing,92640,CA,Beef Sirloin Steak,8/26/2026
110,Woodie,Thorndale,wthorndale31@wordpress.org,maestro,589382913918849849,Garden,64.99,183 Southridge Drive,29319,SC,Classic Pumps,8/17/2026
111,Dorie,Illston,dillston32@hugedomains.com,mastercard,5010120038588003,Games,39.99,3654 Hagan Court,80291,CO,Electric Rice Cooker,11/10/2025
112,Enrica,Desesquelle,edesesquelle33@nasa.gov,maestro,5018696254828670,Movies,6.99,5 Little Fleur Trail,01105,MA,Basil-infused Olive Oil,9/9/2025
113,Hubert,Mosdell,hmosdell34@youtu.be,diners-club-us-ca,5598822880916907,Grocery,89.99,59 Loftsgordon Way,84170,UT,Smartphone Gimbal Stabilizer,9/26/2025
114,Page,Milnthorpe,pmilnthorpe35@tripadvisor.com,switch,491105803899435145,Garden,89.99,41 Eliot Street,76310,TX,Vacuum Sealer Machine,4/23/2026
115,Prissie,Fonteyne,pfonteyne36@i2i.jp,instapayment,6380306456436227,Outdoors,4.99,79766 Buell Drive,33069,FL,Himalayan Salt Grinder,11/10/2025
116,Daisey,Isack,disack37@hexun.com,mastercard,5451410300934191,Electronics,16.99,658 Morning Court,12237,NY,Animal Paw Print Soap Dispenser,12/24/2025
117,Estelle,Stiven,estiven38@amazon.de,diners-club-international,36580024455601,Garden,0.79,056 Mayfield Place,75205,TX,Zucchini,4/5/2026
118,Octavia,Westerman,owesterman39@etsy.com,diners-club-us-ca,5412813633852394,Electronics,29.99,9735 Green Parkway,32118,FL,Desk Organizer Set,12/30/2025
119,Micheline,Gianninotti,mgianninotti3a@google.cn,bankcard,5610661289400681,Clothing,149.99,40 Hazelcrest Junction,30380,GA,Pet Camera with Treat Dispenser,12/26/2025
120,Kip,Abreheart,kabreheart3b@rakuten.co.jp,diners-club-enroute,201659055678114,Garden,1.99,3 Veith Plaza,20436,DC,Almond Butter Crunch Bar,12/20/2025
121,Inigo,Gascone,igascone3c@google.es,diners-club-enroute,201799243028192,Clothing,19.99,154 Hintze Avenue,93407,CA,Gaming Mousepad,11/2/2025
122,Branden,Maunders,bmaunders3d@pinterest.com,jcb,3559470893205603,Home,9.99,7012 Michigan Parkway,75705,TX,Pet Grooming Gloves,11/18/2025
123,Laural,Bladge,lbladge3e@boston.com,china-unionpay,56022244220471189,Outdoors,5.99,7278 Riverside Junction,60505,IL,Green Smoothie Mix,2/10/2026
124,Brittany,Smalcombe,bsmalcombe3f@fema.gov,diners-club-international,36477255955997,Outdoors,7.49,958 Morning Way,15906,PA,Teriyaki Beef Strips,7/23/2026
125,Clare,Paddefield,cpaddefield3g@tiny.cc,bankcard,5602240459770239,Sports,34.99,9771 Hauk Parkway,89510,NV,Wireless Keyboard and Mouse Combo,5/18/2026
126,Demeter,Watling,dwatling3h@netlog.com,bankcard,5602252964905002,Baby,1.99,1382 Grover Junction,66225,KS,Frozen Mixed Vegetables,10/25/2025
127,Ferguson,Coggill,fcoggill3i@webnode.com,instapayment,6370053518381726,Grocery,29.99,096 Barby Junction,06721,CT,Plant-Based Cookbook,7/27/2026
128,Lorry,Chave,lchave3j@tiny.cc,diners-club-enroute,201820165719202,Jewelry,7.49,1064 New Castle Parkway,19131,PA,Vegan Tacos,7/7/2026
129,Stanfield,Keyho,skeyho3k@hugedomains.com,china-unionpay,5602238267411692160,Industrial,29.99,5515 Eliot Point,20420,DC,Smartphone Photography Tripod,11/29/2025
130,Obediah,Tollet,otollet3l@sourceforge.net,diners-club-international,36010913260938,Kids,5.99,83 Elmside Trail,34210,FL,Chocolate Dipped Fruit,9/8/2025
131,Clarissa,Lawrie,clawrie3m@cornell.edu,jcb,3574456523175028,Grocery,4.99,68747 Northview Court,15250,PA,Blueberry Chia Jam,11/17/2025
132,Patty,Tacker,ptacker3n@nhs.uk,diners-club-us-ca,5423383213553181,Health,129.99,87552 Transport Avenue,37605,TN,Air Purifier,8/15/2026
133,Edeline,Snodden,esnodden3o@addtoany.com,americanexpress,374283601585573,Tools,49.99,555 Merchant Road,73167,OK,Handmade Leather Wallet,12/15/2025
134,Frederica,Witten,fwitten3p@tiny.cc,americanexpress,374288896775987,Outdoors,2.99,2985 Sauthoff Parkway,76096,TX,Vegetable Medley,4/9/2026
135,Jimmy,Cooley,jcooley3q@cmu.edu,diners-club-international,36915245652984,Automotive,39.99,56260 Ilene Parkway,14614,NY,USB-C Hub,4/8/2026
136,Sissie,Edrich,sedrich3r@marketwatch.com,solo,633456362311050893,Health,12.99,1189 Gateway Plaza,33913,FL,Non-Slip Yoga Socks,8/13/2026
137,Ferd,Olive,folive3s@bluehost.com,diners-club-us-ca,5528978805967949,Jewelry,8.99,6 Nelson Junction,45296,OH,Frozen Burritos,5/4/2026
138,Jared,Lincey,jlincey3t@domainmarket.com,maestro,6761129618341963,Clothing,99.99,08745 Gerald Crossing,85260,AZ,Electric Food Slicer,10/3/2025
139,Lorrie,Brunsen,lbrunsen3u@comcast.net,mastercard,5167146915297203,Jewelry,8.99,138 Artisan Park,92705,CA,Garlic Butter Shrimp,11/18/2025
140,Genevieve,Wiersma,gwiersma3v@scribd.com,maestro,50204177948940825,Outdoors,29.99,99 East Center,43204,OH,Relaxed Fit Henley Shirt,9/18/2025
141,Ketti,Wallbanks,kwallbanks3w@bigcartel.com,jcb,3554305910652012,Electronics,3.79,66298 Magdeline Circle,30061,GA,Veggie Chips Variety Pack,2/4/2026
142,Stanley,Greyes,sgreyes3x@wordpress.org,solo,6334186743145428,Books,24.99,54 Bay Drive,90020,CA,Wireless Charger,11/2/2025
143,Cleveland,Attrill,cattrill3y@umn.edu,mastercard,5100143302589565,Outdoors,34.99,280 Nevada Trail,12247,NY,Outdoor Mosquito Repellent Lantern,12/3/2025
144,Julee,Filon,jfilon3z@cloudflare.com,americanexpress,374288830090899,Baby,3.99,13073 Dorton Avenue,89087,NV,Caramelized Onion Dip,2/23/2026
145,Melanie,Thiem,mthiem40@tripadvisor.com,diners-club-international,36748541023356,Home,14.99,8 Waywood Parkway,10459,NY,Adjustable Yoga Mat Strap,1/11/2026
146,Zebulen,Spincks,zspincks41@sciencedaily.com,americanexpress,345046369428153,Shoes,24.99,6 Towne Parkway,02905,RI,Digital Meat Thermometer,2/20/2026
147,Elmo,Chipman,echipman42@forbes.com,diners-club-enroute,201706516287066,Computers,79.99,83 Towne Park,79176,TX,Suede Ankle Booties,2/10/2026
148,Florence,Gagin,fgagin43@furl.net,visa,4017952522479075,Beauty,8.99,8512 Shopko Plaza,88525,TX,Honey Mustard Chicken Breasts,7/26/2026
149,Boyce,Grigoryev,bgrigoryev44@a8.net,mastercard,5100174901802653,Kids,3.99,962 Barby Court,78732,TX,Zucchini Noodles,7/23/2026
150,Brant,Surgenor,bsurgenor45@taobao.com,visa,4017955088398,Toys,2.99,970 Marquette Hill,39534,MS,Kettle Corn Popcorn,10/31/2025
151,Clair,Dowles,cdowles46@t.co,solo,633497126028155381,Home,4.99,94 Monterey Plaza,19714,DE,Pistachio Ice Cream,9/3/2025
152,Morie,Benkhe,mbenkhe47@google.cn,diners-club-enroute,201591756064213,Industrial,2.79,2 Superior Junction,15266,PA,Sriracha Chili Sauce,12/31/2025
153,Emmet,Hasson,ehasson48@rambler.ru,visa,4168322450108,Toys,4.99,3 Acker Park,74156,OK,Granola Clusters,4/26/2026
154,Guillemette,Carrett,gcarrett49@addthis.com,diners-club-enroute,201880983372188,Games,3.29,318 Waywood Lane,67215,KS,Canned Sardines,9/6/2025
155,Nessy,Yegorchenkov,nyegorchenkov4a@csmonitor.com,mastercard,5413404189523545,Electronics,99.99,377 Butterfield Lane,59112,MT,Luxury Rolling Makeup Case,9/28/2025
156,Florentia,Hacquoil,fhacquoil4b@samsung.com,switch,6759695617779530,Toys,29.99,0310 3rd Court,80150,CO,LED Under Cabinet Lighting,6/22/2026
157,Cacilie,Duddle,cduddle4c@opensource.org,switch,675926283923492385,Industrial,24.99,84 Hudson Alley,96825,HI,Insulated Lunch Bag,7/14/2026
158,Shepherd,Sandyfirth,ssandyfirth4d@myspace.com,mastercard,5007665892351679,Electronics,1.99,13 Victoria Trail,46239,IN,Sesame Seeds,12/29/2025
159,Kimbell,Pettitt,kpettitt4e@deliciousdays.com,visa,4041378824106,Movies,3.99,66153 5th Road,36205,AL,Coconut Curry Lentil Soup,12/20/2025
160,Brana,MacNeillie,bmacneillie4f@quantcast.com,switch,490558453699383618,Baby,1.49,34231 Spohn Plaza,89012,NV,Cucumber Lime Sparkling Water,6/13/2026
161,Zackariah,Trouncer,ztrouncer4g@cnbc.com,americanexpress,374622666801658,Industrial,24.99,36 Clyde Gallagher Terrace,78044,TX,Fashionable Scarves Set,7/4/2026
162,Garrik,McNeachtain,gmcneachtain4h@ameblo.jp,diners-club-international,36875871406297,Jewelry,4.99,29 Sachs Street,98442,WA,Classic Caesar Salad Kit,9/16/2025
163,Ashley,Cowe,acowe4i@ustream.tv,diners-club-international,36375760789325,Toys,19.99,874 Monterey Drive,98148,WA,Multi-Port USB Hub,4/15/2026
164,Alissa,Keher,akeher4j@prlog.org,switch,4903491221944004273,Shoes,1.89,0 Schmedeman Pass,53785,WI,Canned Coconut Milk,9/13/2025
165,Avivah,Olive,aolive4k@reference.com,americanexpress,370800463664404,Games,69.99,6 Hallows Pass,89166,NV,Denim Jacket,7/7/2026
166,Britte,Guly,bguly4l@nifty.com,maestro,5893018381067315520,Games,3.19,8037 Gateway Terrace,32225,FL,Honey Roasted Peanuts,5/11/2026
167,Murielle,Joliffe,mjoliffe4m@shutterfly.com,bankcard,5602220418197591,Kids,39.99,4001 Miller Road,92710,CA,Dog Car Seat Cover,12/8/2025
168,Carilyn,Utterson,cutterson4n@yellowbook.com,switch,4905749086318805,Garden,3.49,3096 Holmberg Park,20430,DC,Maple Bacon Popcorn,1/21/2026
169,Ferrel,Burel,fburel4o@dailymotion.com,diners-club-us-ca,5543171129112068,Garden,3.49,88204 South Terrace,22156,VA,Salsa,6/24/2026
